2024-04-27 22:26:12,076 INFO    MainThread:2049 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_setup.py:_flush():76] Configure stats pid to 2049
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_setup.py:_flush():76] Loading settings from /home/aharish2/.config/wandb/settings
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_setup.py:_flush():76] Loading settings from /home/shared/changeit3d/wandb/settings
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'changeit3d/notebooks/cs766/exp_c_listener_training.py', 'program_abspath': '/home/shared/changeit3d/changeit3d/notebooks/cs766/exp_c_listener_training.py', 'program': 'changeit3d/notebooks/cs766/exp_c_listener_training.py'}
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_init.py:_log_setup():521] Logging user logs to /home/shared/changeit3d/wandb/run-20240427_222612-h967hgj1/logs/debug.log
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_init.py:_log_setup():522] Logging internal logs to /home/shared/changeit3d/wandb/run-20240427_222612-h967hgj1/logs/debug-internal.log
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_init.py:init():561] calling init triggers
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_init.py:init():611] starting backend
2024-04-27 22:26:12,077 INFO    MainThread:2049 [wandb_init.py:init():615] setting up manager
2024-04-27 22:26:12,082 INFO    MainThread:2049 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-27 22:26:12,084 INFO    MainThread:2049 [wandb_init.py:init():623] backend started and connected
2024-04-27 22:26:12,093 INFO    MainThread:2049 [wandb_init.py:init():715] updated telemetry
2024-04-27 22:26:12,138 INFO    MainThread:2049 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-27 22:26:12,541 INFO    MainThread:2049 [wandb_run.py:_on_init():2357] communicating current version
2024-04-27 22:26:12,682 INFO    MainThread:2049 [wandb_run.py:_on_init():2366] got version response 
2024-04-27 22:26:12,683 INFO    MainThread:2049 [wandb_init.py:init():799] starting run threads in backend
2024-04-27 22:26:16,255 INFO    MainThread:2049 [wandb_run.py:_console_start():2335] atexit reg
2024-04-27 22:26:16,255 INFO    MainThread:2049 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-27 22:26:16,255 INFO    MainThread:2049 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-27 22:26:16,256 INFO    MainThread:2049 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-27 22:26:16,257 INFO    MainThread:2049 [wandb_init.py:init():842] run started, returning control to user process
